Dataset	Nós	Limiar	algoritmo	tempo execução	taxa aproximação atingida	custo caminho atingido	Espaço (MB) usado	CPU (%)	RAM (%)	Disco (%)
nrw1379	1379	56638	christofides	1384.6986935138702	1.1261539717569566	63783.108652370516	402.7473335266113	56.144655344655344	58.681968031968033	49.29999999999997
fl1400	1400	20127	christofides	1364.6305334568024	1.1350359149472764	22844.867860143833	413.3260383605957	56.110040567951319	58.67423935091278	49.29999999999997
u1432	1432	152970	christofides	409.9489223957062	1.124891106979736	172074.59263469023	429.7066307067871	56.186271186440678	58.8477966101695	49.29999999999997
fl1577	1577	[22204,22249]	christofides	313.3344941139221	1.1045935473018667	24526.395124290648	507.3246021270752	56.099107142857142	59.853125000000002	49.29999999999997
d1655	1655	62128	christofides	567.0843780040741	1.133714760855117	70435.43066240671	556.5123863220215	56.147361963190184	50.647361963190182	49.29999999999997
vm1748	1748	336556	christofides	812.1860456466675	1.1190422664690356	376620.3890337527	613.9495506286621	56.081522668947818	52.26595380667237	49.29999999999998
u1817	1817	57201	christofides	626.3554918766022	1.1713470325038287	67002.2216062515	657.2209281921387	56.064587973273942	52.89576837416481	49.29999999999995
rl1889	1889	316536	christofides	331.9807665348053	1.0927251735488823	345886.855534469	705.655590057373	56.109168443496801	53.86183368869936	49.29999999999997
d2103	2103	[79952,80450]	christofides	64.06377148628235	1.0564308866818668	84463.7622519886	856.3279228210449	56.00632911392405	56.468354430379726	49.3
u2152	2152	64253	christofides	951.0920007228851	1.1473366615161407	73719.82251239658	894.0596046447754	56.1142542248346805	56.94643644379132	49.29999999999998
u2319	2319	234256	christofides							
pr2392	2392	378032	christofides							
pcb3038	3038	137694	christofides							
fl3795	3795	[28723,28772]	christofides							
fnl4461	4461	182566	christofides							
rl5915	5915	[565040,565530]	christofides							
rl5934	5934	[554070,556045]	christofides							
rl11849	11849	[920847,923368]	christofides							
usa13509	13509	[19947008,19982889]	christofides							
brd14051	14051	[468942,469445]	christofides							
d15112	15112	[1564590,1573152]	christofides							
d18512	18512	[644650,645488]	christofides							
